GeneID	WT1	WT2	ddm1	ddm2
AT5G11412	0.526049	0.096181	0.295878	0.107494
AT5G11416	0.003597	0.0	0.0	0.000000
AT5G11420	101.213661	115.897621	63.673969	78.750336
AT5G11425	0.610881	0.533324	0.621487	0.593949
AT5G11430	7.374084	6.160381	7.522941	5.512409
AT5G11440	0.110659	0.590483	0.000000	0.131758
AT5G11450	77.782631	57.957462	67.465240	59.199837
AT5G11460	1.043571	1.638043	0.766594	1.107451
AT5G11470	1.165572	1.169446	1.201188	1.091080
AT5G11475	0.0	0.0	0.0	0.000000
AT5G11480	41.653404	34.245007	38.216915	33.036369
AT5G11490	15.074660	20.286266	15.069186	13.683789
AT5G11500	150.609619	117.348999	158.083481	186.080811
AT5G11510	0.915167	0.639837	1.640468	1.626559
AT5G11520	44.964600	63.622425	50.182678	49.507744
AT5G11530	6.310863	7.073771	5.047421	5.985502
AT5G11540	0.469576	0.958719	1.097912	1.129027
AT5G11550	10.984150	7.817292	12.272095	10.228621
AT5G11560	21.959898	28.655333	29.194050	26.935059
AT5G11570	0.128353	0.264326	0.465257	0.216379
AT5G11580	28.134722	22.762579	19.391504	19.106531
AT5G11590	0.513699	0.391526	0.738703	0.648534
AT5G11600	11.262864	14.297979	13.213769	11.893871
AT5G11610	0.904363	1.519283	0.376407	0.268695
AT5G11620	0.275728	0.401611	0.550211	0.666587
AT5G11630	14.543673	11.122792	7.920173	8.350562
AT5G11640	18.091969	17.304991	17.581097	19.938887
AT5G11650	20.614250	23.516144	39.919655	39.436508
AT5G11660	0.0	0.000000	0.0	0.0
AT5G11670	38.027393	62.924038	69.860008	72.022049
AT5G11680	33.525623	41.076252	41.566288	41.486000
AT5G11690	14.635975	12.064429	11.696860	13.504971
AT5G11700	30.507254	38.943638	34.037819	30.698530
AT5G11710	43.910461	43.144070	46.315807	47.595215
AT5G11720	16.383797	14.271399	12.212024	11.779498
AT5G11730	8.028801	6.823425	7.708432	7.358792
AT5G11740	705.317444	713.839417	1449.421265	1259.997437
AT5G11750	7.449143	7.817464	6.486131	7.561822
AT5G11760	25.904085	21.924759	25.015177	23.653381
AT5G11770	146.906708	146.866943	167.296478	150.791153
AT5G11780	1.219042	0.933719	1.569778	0.899905
AT5G11790	32.518040	34.539806	35.913212	37.231869
AT5G11800	10.612609	12.592066	13.734916	12.891540
AT5G11810	12.182240	13.158470	16.679598	16.979717
AT5G11820	0.000000	0.000000	0.158960	0.000000
AT5G11830	0.0	0.000000	0.0	0.0
AT5G11840	52.741535	40.805294	31.755310	32.467594
AT5G11850	10.449569	11.465050	12.491799	11.323877
AT5G11860	17.537001	15.922421	14.158561	14.147499
AT5G11870	0.939247	1.156784	0.646202	0.921720
AT5G11880	22.058958	28.900486	25.197340	28.230612
AT5G11890	20.078180	16.886547	19.579239	17.342009
AT5G11900	28.192650	28.978386	48.671448	45.279312
AT5G11910	13.515034	11.452911	14.212517	14.656074
AT5G11920	2.065279	2.130518	2.214947	2.270521
AT5G11930	0.494280	0.057967	1.842077	0.672603
AT5G11940	0.000000	0.017879	0.000000	0.0
AT5G11950	32.407654	28.257696	40.440678	39.850746
AT5G11960	28.875563	26.189341	26.434723	29.627264
AT5G11970	57.764160	61.741188	87.802116	89.899246
AT5G11977	0.166172	0.851183	0.000000	0.009893
AT5G11980	11.801200	12.788755	15.135291	12.223773
AT5G11990	0.780036	1.637250	1.149820	1.042774
