GeneID	WT1	WT2	ddm1	ddm2
AT1G04650	0.625432	0.576367	0.983407	0.58483
AT1G04660	0.83208	0.778974	2.25751	1.8051
AT1G04670	0	0.106718	0	0
AT1G04680	101.872	89.2112	81.0116	69.6991
AT1G04684	0	0	0	0
AT1G04690	54.2485	59.0671	46.4902	50.5771
AT1G04700	0.418118	0.445148	0.612876	0.486508
AT1G04710	12.2312	14.7484	14.9423	11.9396
AT1G04720	0	0	0	0
AT1G04730	1.00979	1.11863	1.31212	0.808358
AT1G04750	47.6888	58.5987	48.3753	70.827
AT1G04760	3.04606	2.2915	2.17339	1.97754
AT1G04770	28.9468	34.4318	46.4954	55.5839
AT1G04778	0.620172	0.734811	2.065	2.50522
AT1G04780	8.05927	8.73571	9.57639	8.9734
AT1G04790	4.97786	5.87265	5.65416	5.546
AT1G04800	32.1819	41.157	55.2498	61.4246
AT1G04810	11.8149	11.1702	12.2019	11.3552
AT1G04820	86.2411	90.0541	93.0646	93.8731
AT1G04830	3.68864	3.96986	4.10683	3.54062
AT1G04840	0.466008	0.353376	0.543085	0.320019
AT1G04850	29.0541	25.6884	25.161	29.5633
AT1G04860	3.46717	3.23218	3.82222	3.82741
AT1G04870	17.0257	17.8242	20.4397	18.702
AT1G04880	0.145012	0.24818	0.543203	0.756635
AT1G04890	0	0	0	0
AT1G04900	1.92287	2.00215	1.5097	1.10334
AT1G04910	9.21065	9.87166	8.19146	9.10297
AT1G04920	1.32218	1.70016	0.750808	0.652098
AT1G04930	3.12174	2.94007	2.47369	2.42508
AT1G04940	14.9087	11.8046	20.9518	15.4894
AT1G04945	2.97169	2.73085	2.33341	2.26469
AT1G04950	10.0619	9.73696	8.72403	8.82541
AT1G04960	14.6843	15.3598	13.2979	12.4544
AT1G04970	13.1501	11.6506	13.4613	9.89283
AT1G04980	8.5188	9.16209	8.51355	8.82175
AT1G04985	3.63774	3.40804	6.0211	3.80186
AT1G04990	4.9045	4.45488	3.38859	3.78884
AT1G05000	9.46982	10.2715	9.07929	10.3071
AT1G05010	568.467	612.277	485.628	478.329
AT1G05020	0.756801	0.729312	0.970173	0.855998
AT1G05030	2.90818	3.35353	3.00397	3.15131
AT1G05040	0	0	0	0.0551936
AT1G05055	3.28513	4.86293	3.16529	4.57151
AT1G05060	8.41711	8.46797	7.28551	5.79376
AT1G05061	0.0396926	0	0	0
AT1G05065	1.06544	2.10398	0.886903	0
AT1G05070	16.206	18.7124	15.5531	17.7677
AT1G05080	0.0299363	0.0945868	0	0
AT1G05085	0	0	0	0.388575
AT1G05090	0.0523382	0	0.0145226	0.0176186
AT1G05100	0.625565	0.44472	0.885254	0.189525
AT1G05120	5.00449	4.78967	4.4414	5.08071
AT1G05135	67.9836	61.4189	38.2583	41.1331
AT1G05136	0	0	0	0
AT1G05140	37.4419	46.1634	37.6698	34.2171
AT1G05150	14.2913	17.7042	13.7187	15.3118
AT1G05160	0.58891	0.859879	0.460515	0.468578
AT1G05170	3.31693	4.7549	4.17575	4.40428
AT1G05180	10.7668	10.9758	10.6232	10.7563
AT1G05190	110.227	133.649	155.966	155.797
AT1G05200	1.12237	1.32119	1.5183	1.54747
AT1G05205	16.1905	17.6219	19.0408	14.6395
AT1G05210	9.53895	8.32551	7.49935	7.13576
AT1G05220	0.930708	0.420095	0.442713	0.604228
AT1G05230	4.56881	5.00762	3.16181	3.37177
AT1G05240	0	0	0	0
AT1G05250	0	0	0	0
AT1G05260	60.5182	52.6598	45.5081	63.8687
AT1G05270	14.8693	19.0247	15.3427	17.5001
AT1G05280	1.08558	1.1025	0.580931	0.600364
AT1G05290	0	0	0	0
AT1G05291	0	0	0	0
AT1G05300	1.85469	3.13288	1.23511	1.18145
